Year,Children's,Classical,Country,Jazz,New Age,Oldies,Other,Pop,R&B and Urban,Rap and Hip-Hop,Religious,Rock,Soundtracks
1989,0.3,3.6,7.3,4.9,1.4,0.9,4,15,9.5,6.4,3.1,41.7,0.7
1990,0.5,3.1,9.6,4.8,1.1,0.8,5.6,15,11.6,8.5,2.5,36.1,0.8
1991,0.3,3.2,12.8,4,1.3,1,4.2,13.7,9.9,10,3.8,34.8,0.7
1992,0.5,3.7,17.4,3.8,1.2,0.8,5.4,12.1,9.8,8.6,2.8,31.6,0.7
1993,0.4,3.3,18.7,3.1,1,1,4.6,11.5,10.6,9.2,3.2,30.2,0.7
1994,0.4,3.7,16.3,3,1,0.8,5.3,11.9,9.6,7.9,3.3,35.1,1
1995,0.5,2.9,16.7,3,0.7,1,7,10.3,11.3,6.7,3.1,33.5,0.9
1996,0.7,3.4,14.7,3.3,0.7,0.8,5.2,10.1,12.1,8.9,4.3,32.6,0.8
1997,0.9,2.8,14.4,2.8,0.8,0.8,5.7,9.4,11.2,10.1,4.5,32.5,1.2
1998,0.4,3.3,14.1,1.9,0.6,0.7,7.9,10,12.8,9.7,6.3,25.7,1.7
1999,0.4,3.5,10.8,3,0.5,0.7,9.1,10.3,10.5,10.8,5.1,25.2,0.8
2000,0.6,2.7,10.7,2.9,0.5,0.9,8.3,11,9.7,12.9,4.8,24.8,0.7
2001,0.5,3.2,10.5,3.4,1,0.8,7.9,12.1,10.6,11.4,6.7,24.4,1.4
2002,0.4,3.1,10.7,3.2,0.5,0.9,8.1,9,11.2,13.8,6.7,24.7,1.1
2003,0.6,3,10.4,2.9,0.5,1.3,7.6,8.9,10.6,13.3,5.8,25.2,1.4
2004,2.8,2,13,2.7,1,1.4,8.9,10,11.3,12.1,6,23.9,1.1
2005,2.3,2.4,12.5,1.8,0.4,1.1,8.5,8.1,10.2,13.3,5.3,31.5,0.9
2006,2.9,1.9,13,2,0.3,1.1,7.3,7.1,11,11.4,5.5,34,0.8
2007,2.9,2.3,11.5,2.6,0.3,0.4,7.1,10.7,11.8,10.8,3.9,32.4,0.8
2008,3,1.9,11.9,1.1,0.6,0.7,9.1,9.1,10.2,10.7,6.5,31.8,0.8
